Chrom	Start	End	Bailey	C431	C99R	CC41	CC477	CC812	Florida07	GA12Y	GPNCWS17	Georganic	IAC322	ICG1471	Lariat	Marc1	NC94022	NMVal.1	NMVal.2	TifNV	York
chr01	1030000	1040000	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	3	1	1
chr01	1040000	1050000	0	3	3	3	1	3	3	3	3	3	2	1	1	3	3	3	1	3	3
chr01	1050000	1060000	0	1	1	1	3	1	1	1	1	1	0	3	1	1	1	1	3	1	1
chr01	1060000	1070000	0	3	3	3	5	3	3	3	3	3	2	5	2	3	3	3	5	3	3
chr01	1070000	1080000	0	1	1	1	6	1	1	1	1	1	3	6	1	1	1	1	7	1	1
chr01	1080000	1090000	0	0	0	0	4	0	0	0	0	0	1	4	1	0	0	0	6	0	0
chr01	1090000	1100000	0	5	5	5	6	5	5	5	5	5	5	6	4	5	5	5	7	5	5
chr01	1100000	1110000	0	1	1	1	3	1	1	1	1	1	1	3	3	1	1	1	2	1	1
chr01	1110000	1120000	0	1	1	2	6	1	1	1	1	1	2	6	2	1	1	2	7	1	1
chr01	1120000	1130000	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
chr01	1130000	1140000	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	6	0	0
chr01	1140000	1150000	0	2	2	2	3	2	2	2	2	2	1	3	2	2	2	2	3	2	2
chr01	1150000	1160000	0	3	3	3	4	3	3	3	3	3	1	5	2	3	3	3	5	3	2
chr01	1160000	1170000	0	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	3	2	2
chr01	1170000	1180000	0	2	2	2	4	2	2	2	2	2	3	4	3	2	2	1	5	2	2
chr01	1180000	1190000	0	2	2	2	3	2	2	2	2	2	3	3	2	2	2	2	4	2	2
chr01	1190000	1200000	0	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	1	2	2
chr01	1200000	1210000	0	9	9	9	12	9	9	9	9	9	9	12	11	9	9	9	11	9	9
chr01	1210000	1220000	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1
chr01	1220000	1230000	0	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3
chr01	1230000	1240000	0	1	1	1	4	1	1	1	1	1	1	4	2	1	1	1	5	1	1
chr01	1240000	1250000	0	1	1	1	6	1	1	1	1	1	2	7	1	1	1	1	3	1	1
chr01	1250000	1260000	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0
chr01	1260000	1270000	0	1	1	1	3	1	1	1	1	1	0	3	0	1	1	1	4	1	1
chr01	1270000	1280000	0	5	5	5	2	5	5	5	5	5	5	3	3	6	5	5	4	5	5
chr01	1280000	1290000	0	2	2	1	0	1	1	1	1	1	3	0	1	1	1	1	0	1	1
chr01	1290000	1300000	0	2	2	3	0	3	2	3	3	2	2	0	1	3	4	3	0	2	2
chr01	1300000	1310000	0	8	8	8	0	8	8	9	8	8	6	0	10	9	9	8	88	8	8
chr01	1310000	1320000	0	3	3	3	0	3	3	4	3	3	4	0	3	4	4	3	7	3	3
chr01	1320000	1330000	0	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	3	2	2
chr01	1330000	1340000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	1340000	1350000	0	2	2	3	0	3	2	3	2	2	1	0	2	3	3	3	4	2	2
chr01	1350000	1360000	0	4	4	3	5	4	4	4	3	4	4	8	4	4	3	3	4	4	3
chr01	1360000	1370000	0	3	3	3	3	3	3	3	3	3	4	2	3	3	3	3	3	3	3
chr01	1370000	1380000	0	2	2	2	4	2	2	2	2	2	2	4	4	2	2	2	3	2	2
chr01	1380000	1390000	0	2	2	2	2	3	2	3	2	2	1	1	2	3	2	2	3	2	2
chr01	1390000	1400000	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1
chr01	1400000	1410000	0	3	3	3	4	4	3	4	3	3	4	4	5	3	3	3	6	3	3
chr01	1410000	1420000	0	5	5	5	3	5	5	6	5	5	5	3	3	7	5	5	4	5	5
chr01	1420000	1430000	0	0	0	0	2	0	0	0	0	0	0	3	2	0	0	0	2	0	0
chr01	1430000	1440000	0	1	1	4	6	3	1	2	4	1	3	7	3	5	4	4	1	1	4
chr01	1440000	1450000	0	3	3	3	3	3	2	3	3	3	3	3	6	3	3	3	4	2	3
chr01	1450000	1460000	0	5	5	6	6	8	9	6	6	5	4	26	5	6	6	10	8	5	5
chr01	1460000	1470000	0	6	6	5	7	8	6	6	5	6	8	67	8	6	5	6	5	8	0
chr01	1470000	1480000	0	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	0
chr01	1480000	1490000	0	4	4	4	1	4	4	4	4	4	1	1	3	4	4	4	4	4	0
chr01	1490000	1500000	0	14	14	14	15	14	14	14	14	14	14	15	16	14	14	14	14	14	0
chr01	1500000	1510000	0	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2	3	2	0
chr01	1510000	1520000	0	5	5	5	7	5	5	5	5	5	5	8	6	5	5	5	7	5	0
chr01	1520000	1530000	0	1	1	1	3	1	1	1	1	1	2	4	2	1	1	1	3	1	0
chr01	1530000	1540000	0	1	1	2	0	2	1	2	2	1	1	1	1	2	2	2	1	1	0
chr01	1540000	1550000	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
chr01	1550000	1560000	0	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	0
chr01	1560000	1570000	0	6	6	6	6	5	6	7	6	6	2	6	3	7	6	6	4	6	0
chr01	1570000	1580000	0	3	3	4	5	3	3	3	4	3	3	5	3	3	4	4	4	3	0
chr01	1580000	1590000	0	1	1	0	2	0	1	0	0	1	0	1	0	0	0	0	0	1	0
chr01	1590000	1600000	0	4	4	3	7	4	4	4	4	4	4	5	4	4	4	4	7	4	0
chr01	1600000	1610000	0	5	5	5	3	5	5	5	5	5	5	4	5	5	5	5	7	5	0
chr01	1610000	1620000	0	4	4	4	8	4	4	4	4	4	4	6	4	4	4	4	5	4	0
chr01	1620000	1630000	0	2	2	2	5	2	2	2	2	2	2	5	2	0	2	2	2	2	0
chr01	1630000	1640000	0	4	4	4	4	4	4	4	4	4	3	4	3	4	4	4	5	4	0
chr01	1640000	1650000	0	3	3	3	2	3	3	4	3	4	3	2	3	3	4	2	3	3	0
chr01	1650000	1660000	0	3	3	3	6	4	3	3	3	2	3	7	2	3	3	3	4	3	0
chr01	1660000	1670000	0	3	4	3	2	3	4	3	3	2	3	2	4	3	3	3	5	4	0
chr01	1670000	1680000	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	0
chr01	1680000	1690000	0	7	6	4	4	4	6	4	4	6	5	5	8	4	5	6	6	6	0
chr01	1690000	1700000	0	4	4	4	5	5	4	5	4	4	3	5	4	5	4	4	6	4	0
chr01	1700000	1710000	0	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	5	3	0
chr01	1710000	1720000	0	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	6	3	0
chr01	1720000	1730000	0	3	3	3	2	3	3	3	3	3	3	2	2	3	3	3	2	3	0
chr01	1730000	1740000	0	2	2	2	4	2	2	2	2	2	2	3	3	2	2	2	2	2	0
chr01	1740000	1750000	0	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	0
chr01	1750000	1760000	0	1	1	1	3	1	1	1	1	1	0	2	0	1	1	0	0	1	0
chr01	1760000	1770000	0	3	3	3	8	3	3	4	3	3	1	7	3	3	3	3	8	3	0
chr01	1770000	1780000	0	1	1	1	2	1	1	1	1	1	0	2	1	1	1	1	5	1	0
chr01	1780000	1790000	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr01	1790000	1800000	0	4	4	4	6	4	4	4	4	4	3	6	4	4	4	4	12	4	0
chr01	1800000	1810000	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr01	1810000	1820000	0	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	3	2	0
chr01	1820000	1830000	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
chr01	1830000	1840000	0	2	2	2	6	2	2	2	2	2	1	6	2	2	2	2	6	2	0
chr01	1840000	1850000	0	1	1	2	0	1	1	2	2	1	1	2	0	2	2	2	1	1	0
chr01	1850000	1860000	0	1	1	1	3	1	1	1	1	1	0	3	1	1	2	1	0	1	0
chr01	1860000	1870000	0	3	2	3	2	2	2	2	2	2	2	2	3	2	2	2	4	2	0
chr01	1870000	1880000	0	0	0	0	5	0	0	0	0	0	1	4	0	0	0	0	3	0	0
chr01	1880000	1890000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	1890000	1900000	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	3	1	1	0
chr01	1900000	1910000	0	1	1	1	7	1	1	1	1	1	1	7	1	1	1	6	1	1	0
chr01	1910000	1920000	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
chr01	1920000	1930000	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	3	1	0	0
chr01	1930000	1940000	0	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	0
chr01	1940000	1950000	0	0	0	1	2	0	0	1	1	0	1	2	2	1	1	1	1	0	0
chr01	1950000	1960000	0	3	3	3	10	3	3	3	3	3	4	10	4	3	3	3	9	3	0
chr01	1960000	1970000	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr01	1970000	1980000	0	5	5	5	6	5	5	5	5	5	4	6	4	5	5	5	9	5	0
chr01	1980000	1990000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	1990000	2000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2000000	2010000	0	3	3	3	4	3	3	3	3	3	3	4	3	3	3	3	3	3	0
chr01	2010000	2020000	0	1	1	1	5	1	1	1	1	1	0	5	0	1	1	1	5	1	0
chr01	2020000	2030000	0	2	2	3	2	2	2	2	3	2	0	3	0	2	3	3	4	2	0
chr01	2030000	2040000	0	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	4	1	0
chr01	2040000	2050000	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
chr01	2050000	2060000	0	0	0	0	1	0	1	1	1	0	1	2	1	1	0	1	1	1	0
chr01	2060000	2070000	0	3	3	7	4	4	3	4	7	3	4	3	2	4	7	7	3	3	0
chr01	2070000	2080000	0	2	2	2	6	2	3	2	3	2	1	6	2	2	2	2	7	3	0
chr01	2080000	2090000	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0
chr01	2090000	2100000	0	3	3	4	3	4	3	4	4	3	2	3	1	4	4	4	3	3	0
chr01	2100000	2110000	0	1	1	1	3	1	1	1	1	1	1	3	0	1	1	1	3	1	0
chr01	2110000	2120000	0	2	2	2	5	2	2	2	2	2	3	5	3	2	2	2	7	2	0
chr01	2120000	2130000	0	5	5	5	11	5	5	5	5	5	5	11	5	5	5	5	9	5	0
chr01	2130000	2140000	0	0	0	0	1	0	0	0	0	0	2	2	1	0	0	0	2	0	0
chr01	2140000	2150000	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0
chr01	2150000	2160000	0	2	2	2	4	2	2	3	2	3	4	5	3	2	2	2	4	2	0
chr01	2160000	2170000	0	1	2	2	2	2	2	2	2	2	3	1	3	2	2	2	2	2	0
chr01	2170000	2180000	0	3	3	3	3	3	3	3	3	3	2	2	3	3	3	2	3	3	0
chr01	2180000	2190000	0	1	1	1	3	1	1	1	1	1	2	3	1	1	1	1	2	1	0
chr01	2190000	2200000	0	2	2	2	4	2	2	2	2	2	1	3	1	2	2	2	2	2	0
chr01	2200000	2210000	0	5	5	5	3	5	5	5	5	5	5	4	5	5	5	5	5	5	0
chr01	2210000	2220000	0	5	5	5	4	5	5	5	5	5	4	3	4	5	5	5	4	5	0
chr01	2220000	2230000	0	3	3	3	4	3	3	3	3	3	2	4	1	3	3	3	3	3	0
chr01	2230000	2240000	0	0	1	0	2	0	0	0	0	0	0	3	1	0	0	0	7	0	0
chr01	2240000	2250000	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
chr01	2250000	2260000	0	5	5	5	11	5	5	6	5	5	7	10	6	5	5	5	10	5	0
chr01	2260000	2270000	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	3	0	0
chr01	2270000	2280000	0	3	3	3	5	3	3	3	3	3	2	6	2	3	3	3	6	3	0
chr01	2280000	2290000	0	1	1	1	3	1	1	1	1	1	3	4	2	1	1	1	4	1	0
chr01	2290000	2300000	0	1	1	1	0	1	1	1	2	1	0	1	0	1	1	1	0	1	0
chr01	2300000	2310000	0	3	3	3	5	3	3	3	3	3	4	4	5	3	3	3	4	3	0
chr01	2310000	2320000	0	1	1	1	1	1	1	1	1	1	3	1	3	1	1	1	1	1	0
chr01	2320000	2330000	0	3	3	3	2	3	2	3	3	3	3	2	2	3	3	3	3	3	0
chr01	2330000	2340000	0	3	3	3	3	3	3	3	3	3	2	3	5	3	3	2	3	3	0
chr01	2340000	2350000	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0
chr01	2350000	2360000	0	0	0	0	3	0	0	0	0	0	2	2	1	0	0	3	0	0	0
chr01	2360000	2370000	0	0	0	1	5	0	1	1	0	0	0	5	1	0	1	4	0	0	0
chr01	2370000	2380000	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	3	0	0	0
chr01	2380000	2390000	0	2	2	2	6	2	2	2	2	2	4	5	2	2	2	6	2	2	0
chr01	2390000	2400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2400000	2410000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2410000	2420000	0	2	3	2	2	3	2	2	3	2	2	2	3	1	2	2	2	2	2
chr01	2420000	2430000	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	5	0	0
chr01	2430000	2440000	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1
chr01	2440000	2450000	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
chr01	2450000	2460000	0	0	0	0	10	0	0	0	1	0	6	7	4	0	0	0	8	0	0
chr01	2460000	2470000	0	1	1	1	5	1	1	1	1	1	3	4	7	1	1	1	5	1	1
chr01	2470000	2480000	0	0	0	0	5	0	0	0	0	0	3	4	2	0	0	0	6	0	0
chr01	2480000	2490000	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0
chr01	2490000	2500000	0	0	0	0	4	1	0	1	0	0	5	6	2	1	0	0	4	0	0
chr01	2500000	2510000	0	1	1	1	3	1	1	2	1	1	2	7	1	2	1	1	5	1	1
chr01	2510000	2520000	0	0	0	0	5	0	0	0	0	0	2	4	1	0	0	0	6	0	0
chr01	2520000	2530000	0	2	2	2	3	1	2	1	2	3	4	3	4	1	2	2	4	1	4
chr01	2530000	2540000	0	2	2	4	4	0	1	2	2	1	3	4	1	2	2	2	5	2	2
chr01	2540000	2550000	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2550000	2560000	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2560000	2570000	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2570000	2580000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2580000	2590000	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2590000	2600000	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2600000	2610000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2610000	2620000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2620000	2630000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2630000	2640000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2640000	2650000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2650000	2660000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2660000	2670000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2670000	2680000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2680000	2690000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2690000	2700000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2700000	2710000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2710000	2720000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2720000	2730000	0	20	20	0	13	19	20	19	20	20	19	19	19	20	20	20	0	20	0
chr01	2730000	2740000	0	46	46	0	46	46	46	46	46	46	46	46	46	46	46	46	95	46	0
chr01	2740000	2750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
chr01	2750000	2760000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
chr01	2760000	2770000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2770000	2780000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr01	2780000	2790000	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0
